         1.000               1.526
         1.641               1.580
         2.502               1.677
         3.659               0.555
         4.723               0.165
         5.592               0.624
         6.667               0.789
         7.771               0.038
         9.065               0.343
        10.059              -0.152
        11.353              -0.880
        12.182               0.079
        13.024              -0.100
        14.293              -2.531
        15.206              -2.827
        16.631              -1.324
        17.460              -0.816
        18.116              -0.029
        18.853              -1.021
        19.751              -1.722
        21.116               0.471
        22.010              -0.269
        23.032              -1.659
        23.996              -2.195
        25.093              -1.637
        26.302              -0.616
        26.990               0.027
        28.070              -2.189
        28.831              -0.796
        29.515               0.395
        30.698               2.131
        32.014               0.673
        33.103              -0.360
        34.050              -0.390
        35.157              -0.850
        36.044              -2.291
        36.698              -2.120
        38.014              -1.351
        39.687               1.933
        40.556               1.569
        41.627               0.531
        42.490               0.724
        43.654              -0.584
        45.023              -0.980
        45.735              -0.253
        47.172               0.355
        48.075              -1.226
        49.076               0.521
        50.539               0.427
        51.619              -0.525
        53.013               0.256
        53.683              -0.183
        54.723              -0.391
        55.387              -0.385
        56.328               1.380
        57.431               0.624
        58.542              -0.092
        60.454               0.696
        61.532              -0.698
        62.418              -0.770
        63.477              -0.946
        64.396               0.135
        65.137              -1.284
        65.966              -0.355
        66.789              -0.395
        67.437              -1.185
        68.522              -0.244
        69.352              -0.004
        70.115              -0.083
        71.056               0.033
        72.014               0.408
        73.836               0.474
        75.040              -0.710
        76.201              -0.672
        77.317              -1.010
        78.048              -1.008
        78.827              -1.619
        79.659              -1.665
        80.400              -1.879
        81.120              -2.245
        81.565              -0.602
        82.460              -0.793
        83.740              -1.137
        84.985               0.515
        85.554               0.136
        86.477              -0.687
        87.753              -0.458
        88.865              -0.770
        89.959               0.068
        90.670              -0.783
        91.826              -0.616
        92.628              -1.648
        93.407              -1.010
        94.349              -0.384
        95.174               1.361
        96.182              -0.214
        97.362               0.264
        98.347               0.124
        99.058               0.315
       100.000               0.689
